x,y,h,H
531121.569,4171060.477,1223.482,1188.611
522139.007,4175249.228,986.836,952.226
521965.772,4177055.988,929.367,894.796
525985.901,4181645.566,888.526,853.816
527321.854,4177938.485,1008.752,973.975
532702.166,4184439.027,915.429,880.430
531409.083,4183177.180,918.169,883.249
528687.730,4181432.714,928.932,894.141
530800.931,4182399.516,927.869,892.995
524599.277,4181624.668,889.236,854.547
530080.624,4174023.790,1190.143,1155.250
527448.386,4180150.776,933.986,899.226
522187.785,4180966.223,883.935,849.251
523840.797,4181543.848,891.823,857.109
533721.734,4172811.346,1260.599,1225.547
530128.716,4182144.569,930.177,895.307
533041.683,4170351.896,1253.464,1218.518
518442.199,4174291.701,892.537,858.126
532328.018,4170762.774,1229.461,1194.539
530030.643,4172850.093,1256.650,1221.744
